--------- beginning of /dev/log/system
W/ThrottleService(  584): unable to find stats for iface rmnet0
D/PowerManagerService(  584): releaseWakeLock(43123088): PARTIAL_WAKE_LOCK , tag=GCoreFlp, flags=0x1
D/PowerManagerService(  584): releaseWakeLock(42e45708): PARTIAL_WAKE_LOCK , tag=GCoreFlp, flags=0x1
D/WifiService(  584): releaseWifiLockLocked: WifiLock{NlpWifiLock type=2 binder=android.os.BinderProxy@42e76400}
D/WifiService(  584): updateWifiState(): wifiApEnabled: false, wifiApAirplaneMode: falsegetWifiEnabledState(): 3, getWifiApEnabledState: 11
D/WifiService(  584): updateWifiState(): mAirplaneModeOn.get(): false, mPersistWifiState.get(): 1
D/WifiService(  584): updateWifiState(): mEmergencyCallbackMode: false, mDeviceIdle: false, lockHeld: true, mStopWifiRequested:false
D/WifiService(  584): updateWifiState(): enable and start wifi
D/PowerManagerService(  584): releaseWakeLock(42e75bb8): PARTIAL_WAKE_LOCK , tag=NlpWakeLock, flags=0x1
D/BatteryService(  584): updateBatteryStats: auto update.
D/PowerManagerService(  584): acquireWakeLock(433dd928): PARTIAL_WAKE_LOCK , tag=BatteryServiceUpdateStats, flags=0x1, pid=584, uid=1000, mUserState=0x0
D/PowerManagerService(  584): releaseWakeLock(433dd928): PARTIAL_WAKE_LOCK , tag=BatteryServiceUpdateStats, flags=0x1
D/BatteryService(  584): updateBatteryStats: update triggered by UEvent.
D/PowerManagerService(  584): acquireWakeLock(431a10e8): PARTIAL_WAKE_LOCK , tag=BatteryServiceUpdateStats, flags=0x1, pid=584, uid=1000, mUserState=0x0
D/PowerUI (  840): closing low battery warning: level=46
D/PowerUI (  840): plugged = true, health = 2, mBatteryLevel = 46, mPluggedBatteryLevel = 34, mLowBatteryWarningLevel2 = 25, mshowLowChargingWarning2 = true
D/WifiService(  584): ACTION_BATTERY_CHANGED pluggedType: 2
D/NotificationService(  584): mIntentReceiver() Intent.ACTION_BATTERY_CHANGED
D/PowerManagerService(  584): runHtcPowerSaverCheck ======================================
D/PowerManagerService(  584): releaseWakeLock(431a10e8): PARTIAL_WAKE_LOCK , tag=BatteryServiceUpdateStats, flags=0x1
D/PowerManagerService(  584): acquireWakeLock(42e05a48): PARTIAL_WAKE_LOCK , tag=AlarmManager, flags=0x1, pid=584, uid=1000, mUserState=0x0
D/PowerManagerService(  584): acquireWakeLock(43174650): PARTIAL_WAKE_LOCK , tag=SyncManagerHandleSyncAlarm, flags=0x1, pid=584, uid=1000, mUserState=0x0
V/AlarmManager(  584): sending alarm PendingIntent{42b57bb0: PendingIntentRecord{427e7dc0 android broadcastIntent}}, intent=android.content.syncmanager.SYNC_ALARM, type=ELAPSED_REALTIME_WAKEUP, count=1, when=5139940, repeateInterval=0
D/PowerManagerService(  584): releaseWakeLock(42e05a48): PARTIAL_WAKE_LOCK , tag=AlarmManager, flags=0x1
D/PowerManagerService(  584): acquireWakeLock(4336ff60): PARTIAL_WAKE_LOCK , tag=SyncLoopWakeLock, flags=0x1, pid=584, uid=1000, mUserState=0x0
D/PowerManagerService(  584): releaseWakeLock(43174650): PARTIAL_WAKE_LOCK , tag=SyncManagerHandleSyncAlarm, flags=0x1
D/PowerManagerService(  584): releaseWakeLock(4336ff60): PARTIAL_WAKE_LOCK , tag=SyncLoopWakeLock, flags=0x1
D/PowerManagerService(  584): acquireWakeLock(431fef10): PARTIAL_WAKE_LOCK , tag=AlarmManager, flags=0x1, pid=584, uid=1000, mUserState=0x0
V/AlarmManager(  584): sending alarm PendingIntent{429db508: PendingIntentRecord{42d0af18 android broadcastIntent}}, intent=android.intent.action.TIME_TICK, type=RTC, count=1, when=1427234580000, repeateInterval=0
D/PowerManagerService(  584): releaseWakeLock(431fef10): PARTIAL_WAKE_LOCK , tag=AlarmManager, flags=0x1
D/BatteryService(  584): updateBatteryStats: auto update.
D/PowerManagerService(  584): acquireWakeLock(431634d8): PARTIAL_WAKE_LOCK , tag=BatteryServiceUpdateStats, flags=0x1, pid=584, uid=1000, mUserState=0x0
D/PowerManagerService(  584): releaseWakeLock(431634d8): PARTIAL_WAKE_LOCK , tag=BatteryServiceUpdateStats, flags=0x1
D/BatteryService(  584): updateBatteryStats: update triggered by UEvent.
D/PowerManagerService(  584): acquireWakeLock(43091750): PARTIAL_WAKE_LOCK , tag=BatteryServiceUpdateStats, flags=0x1, pid=584, uid=1000, mUserState=0x0
D/PowerManagerService(  584): releaseWakeLock(43091750): PARTIAL_WAKE_LOCK , tag=BatteryServiceUpdateStats, flags=0x1
D/PowerManagerService(  584): runHtcPowerSaverCheck ======================================
D/WifiService(  584): ACTION_BATTERY_CHANGED pluggedType: 2
D/NotificationService(  584): mIntentReceiver() Intent.ACTION_BATTERY_CHANGED
D/PowerUI (  840): closing low battery warning: level=47
D/PowerUI (  840): plugged = true, health = 2, mBatteryLevel = 47, mPluggedBatteryLevel = 34, mLowBatteryWarningLevel2 = 25, mshowLowChargingWarning2 = true
D/PowerManagerService(  584): acquireWakeLock(433f10d8): PARTIAL_WAKE_LOCK , tag=AlarmManager, flags=0x1, pid=584, uid=1000, mUserState=0x0
V/AlarmManager(  584): sending alarm PendingIntent{42cbde58: PendingIntentRecord{42c33380 com.google.android.gms broadcastIntent}}, intent=com.google.android.intent.action.MCS_HEARTBEAT, type=ELAPSED_REALTIME_WAKEUP, count=1, when=5171426, repeateInterval=0
D/PowerManagerService(  584): acquireWakeLock(4323f198): PARTIAL_WAKE_LOCK , tag=GCM_HB_ALARM, flags=0x1, pid=1061, uid=10017, mUserState=0x0
D/PowerManagerService(  584): releaseWakeLock(4323f198): PARTIAL_WAKE_LOCK , tag=GCM_HB_ALARM, flags=0x1
D/PowerManagerService(  584): releaseWakeLock(433f10d8): PARTIAL_WAKE_LOCK , tag=AlarmManager, flags=0x1
D/PowerManagerService(  584): acquireWakeLock(43444590): PARTIAL_WAKE_LOCK , tag=*net_scheduler*, flags=0x1, pid=1061, uid=10017, mUserState=0x0
D/PowerManagerService(  584): releaseWakeLock(43444590): PARTIAL_WAKE_LOCK , tag=*net_scheduler*, flags=0x1
D/PowerManagerService(  584): acquireWakeLock(4323d140): PARTIAL_WAKE_LOCK , tag=GCM_CONN, flags=0x1, pid=1061, uid=10017, mUserState=0x0
D/ConnectivityService(  584): reportInetCondition for net 1, percentage: 100 by 1061/10017
D/ConnectivityService(  584): handleInetConditionChange: net=1, condition=100,mActiveDefaultNetwork=1
D/ConnectivityService(  584): handleInetConditionChange: starting a change hold
D/PowerManagerService(  584): acquireWakeLock(43105610): PARTIAL_WAKE_LOCK , tag=*net_scheduler*, flags=0x1, pid=1061, uid=10017, mUserState=0x0
D/PowerManagerService(  584): releaseWakeLock(43105610): PARTIAL_WAKE_LOCK , tag=*net_scheduler*, flags=0x1
D/PowerManagerService(  584): releaseWakeLock(4323d140): PARTIAL_WAKE_LOCK , tag=GCM_CONN, flags=0x1
D/ConnectivityService(  584): handleInetConditionHoldEnd: net=1, condition=100, published condition=100
D/ConnectivityService(  584): sendStickyBroadcast: action=android.net.conn.INET_CONDITION_ACTION
D/WIFI_ICON(  840): updateConnectivity: type=1 connected=true
D/StatusBar.NetworkController(  840): dumpState[hasService=true ServiceState=0 home 3 3 27202  HSPA CSS not supported -1 -1 RoamInd=-1 DefRoamInd=-1EriInd= -1EriMode= -1RadioPowerSv: false EmergOnly=false PhoneType: 1 IsCdma=false SimState=UNKNOWN GprsState=0 DataState=Disconnected DataActivity=NONE NetworkType=HSPA HtcModemLinkOn=false HspaDataDistinquishable=true]
D/StatusBar.NetworkController(  840): dumpIconState[dataVisible=false dataIconId=stat_sys_data_connected_hplus signalIconId=stat_sys_5signal_2 wifiVisible=true wifiIconId=stat_sys_wifi_signal_4 airplaneMode=false]
D/PowerManagerService(  584): acquireWakeLock(431e4958): PARTIAL_WAKE_LOCK , tag=AlarmManager, flags=0x1, pid=584, uid=1000, mUserState=0x0
V/AlarmManager(  584): sending alarm PendingIntent{42bbb5f0: PendingIntentRecord{433380a0 com.whatsapp broadcastIntent}}, intent=com.whatsapp.messaging.MessageService.CLIENT_PINGER_ACTION, type=ELAPSED_REALTIME_WAKEUP, count=1, when=5426799, repeateInterval=240000
D/PowerManagerService(  584): releaseWakeLock(431e4958): PARTIAL_WAKE_LOCK , tag=AlarmManager, flags=0x1
D/PowerManagerService(  584): acquireWakeLock(431035b8): PARTIAL_WAKE_LOCK , tag=AlarmManager, flags=0x1, pid=584, uid=1000, mUserState=0x0
V/AlarmManager(  584): sending alarm PendingIntent{42bc2c18: PendingIntentRecord{434027f8 com.whatsapp broadcastIntent}}, intent=com.whatsapp.alarm.CLIENT_PING_TIMEOUT, type=ELAPSED_REALTIME_WAKEUP, count=1, when=5218831, repeateInterval=0
D/PowerManagerService(  584): releaseWakeLock(431035b8): PARTIAL_WAKE_LOCK , tag=AlarmManager, flags=0x1
D/PowerManagerService(  584): acquireWakeLock(4343ee88): PARTIAL_WAKE_LOCK , tag=AlarmManager, flags=0x1, pid=584, uid=1000, mUserState=0x0
V/AlarmManager(  584): sending alarm PendingIntent{422f55f8: PendingIntentRecord{42620fd8 android broadcastIntent}}, intent=android.net.wifi.DHCP_RENEW, type=ELAPSED_REALTIME_WAKEUP, count=1, when=5220587, repeateInterval=0
D/PowerManagerService(  584): acquireWakeLock(434047a8): PARTIAL_WAKE_LOCK , tag=DHCP, flags=0x1, pid=584, uid=1000, mUserState=0x0
D/WifiStateMachine(  584): handlePreDhcpSetup Held wake lock during DHCP
D/PowerManagerService(  584): acquireWakeLock(434065b0): PARTIAL_WAKE_LOCK , tag=WifiStateMachine, flags=0x1, pid=584, uid=1000, mUserState=0x0
D/PowerManagerService(  584): releaseWakeLock(4343ee88): PARTIAL_WAKE_LOCK , tag=AlarmManager, flags=0x1
D/WifiStateMachine(  584): handlePostDhcpSetup release wake lock during DHCP
D/PowerManagerService(  584): releaseWakeLock(434065b0): PARTIAL_WAKE_LOCK , tag=WifiStateMachine, flags=0x1
D/PowerManagerService(  584): releaseWakeLock(434047a8): PARTIAL_WAKE_LOCK , tag=DHCP, flags=0x1
D/ConnectivityService(  584): requestNetworkTransitionWakelock for WifiStateMachine  by WifiStateMachine
D/PowerManagerService(  584): acquireWakeLock(42d7fd90): PARTIAL_WAKE_LOCK , tag=ConnectivityService, flags=0x1, pid=584, uid=1000, mUserState=0x0
D/ConnectivityService(  584): ConnectivityChange for WIFI/: CONNECTING/VERIFYING_POOR_LINK, default=1
D/WifiStateMachine(  584): VerifyingLinkState: enableIpv6
D/ConnectivityService(  584): ConnectivityChange for WIFI/: CONNECTED/CONNECTED, default=1
V/ConnectivityService(  584): Policy requires mobile_dun/HSPA teardown quickly
D/MobileDataStateTracker(  584): dun: setTeardownRequested(true)
D/MobileDataStateTracker(  584): dun: setTeardownRequested(true)
V/ConnectivityService(  584): Policy requires mobile/HSPA teardown quickly
D/MobileDataStateTracker(  584): default: setTeardownRequested(true)
D/MobileDataStateTracker(  584): default: setTeardownRequested(true)
D/ConnectivityService(  584): Setting TCP values: [524288,1048576,2097152,262144,524288,1048576] which comes from [net.tcp.buffersize.wifi]
D/ConnectivityService(  584): handleConnectivityChange: address are the same reset per doReset linkProperty[1]: resetMask=0
D/ConnectivityService(  584): Removing 192.168.1.1/32 -> 0.0.0.0 for interface wlan0
D/ConnectivityService(  584): Removing 0.0.0.0/0 -> 192.168.1.1 for interface wlan0
D/ConnectivityService(  584): Adding 192.168.1.1/32 -> 0.0.0.0 for interface wlan0
D/ConnectivityService(  584): Adding 0.0.0.0/0 -> 192.168.1.1 for interface wlan0
D/ConnectivityService(  584): sendStickyBroadcast: action=android.net.conn.CONNECTIVITY_CHANGE_IMMEDIATE
D/PowerManagerService(  584): acquireWakeLock(43069b28): PARTIAL_WAKE_LOCK , tag=NetworkStats, flags=0x1, pid=584, uid=1000, mUserState=0x0
D/ConnectivityService(  584): sendStickyBroadcastDelayed: delayMs=1000, action=android.net.conn.CONNECTIVITY_CHANGE
D/PowerManagerService(  584): releaseWakeLock(43069b28): PARTIAL_WAKE_LOCK , tag=NetworkStats, flags=0x1
W/AlarmManager(  584): RXTXtriggerAlarmsLocked
D/PowerManagerService(  584): acquireWakeLock(4344bbb8): PARTIAL_WAKE_LOCK , tag=AlarmManager, flags=0x1, pid=584, uid=1000, mUserState=0x0
V/AlarmManager(  584): sending alarm PendingIntent{42a39c50: PendingIntentRecord{42d0b2c0 android broadcastIntent}}, intent=com.htc.intent.action.Socket_RXTXGrouping, type=RTC_WAKEUP, count=1, when=1427234639095, repeateInterval=0
D/PowerManagerService(  584): releaseWakeLock(4344bbb8): PARTIAL_WAKE_LOCK , tag=AlarmManager, flags=0x1
D/PowerManagerService(  584): acquireWakeLock(433cac30): PARTIAL_WAKE_LOCK , tag=UlrDispatchingService, flags=0x1, pid=1390, uid=10017, mUserState=0x0
D/PowerManagerService(  584): releaseWakeLock(42d7fd90): PARTIAL_WAKE_LOCK , tag=ConnectivityService, flags=0x1
D/ConnectivityService(  584): NetTransition Wakelock for WifiStateMachine released by timeout
D/ConnectivityService(  584): sendStickyBroadcast: action=android.net.conn.CONNECTIVITY_CHANGE
D/WifiService(  584): forceUpdateRSSI when title bar UI already can get RSSI change intent
D/WIFI_ICON(  840): updateConnectivity: type=1 connected=true
D/WifiStateMachine(  584): BroadcastRSSIForIMS, newrssi =-46 , oldRssi= -200
D/StatusBar.NetworkController(  840): dumpState[hasService=true ServiceState=0 home 3 3 27202  HSPA CSS not supported -1 -1 RoamInd=-1 DefRoamInd=-1EriInd= -1EriMode= -1RadioPowerSv: false EmergOnly=false PhoneType: 1 IsCdma=false SimState=UNKNOWN GprsState=0 DataState=Disconnected DataActivity=NONE NetworkType=HSPA HtcModemLinkOn=false HspaDataDistinquishable=true]
D/StatusBar.NetworkController(  840): dumpIconState[dataVisible=false dataIconId=stat_sys_data_connected_hplus signalIconId=stat_sys_5signal_2 wifiVisible=true wifiIconId=stat_sys_wifi_signal_4 airplaneMode=false]
D/WIFI_ICON(  840): updateWifiState: action=android.net.wifi.RSSI_CHANGED newRssi=-46 freq=2412 newLevel=3 lastWifiLevel=3
D/StatusBar.NetworkController(  840): dumpIconState[dataVisible=false dataIconId=stat_sys_data_connected_hplus signalIconId=stat_sys_5signal_2 wifiVisible=true wifiIconId=stat_sys_wifi_signal_4 airplaneMode=false]
D/ConnectivityService(  584): reportInetCondition for net 1, percentage: 0 by 1061/10017
D/ConnectivityService(  584): handleInetConditionChange: net=1, condition=0,mActiveDefaultNetwork=1
D/ConnectivityService(  584): handleInetConditionChange: starting a change hold
D/PowerManagerService(  584): acquireWakeLock(431a6180): PARTIAL_WAKE_LOCK , tag=SyncLoopWakeLock, flags=0x1, pid=584, uid=1000, mUserState=0x0
D/LocationManagerService(  584): LocationProvider is AVAILABLE
D/PowerManagerService(  584): acquireWakeLock(42cda4a0): PARTIAL_WAKE_LOCK , tag=GpsLocationProvider, flags=0x1, pid=584, uid=1000, mUserState=0x0
I/ActivityManager(  584): Start proc com.google.android.music:main for broadcast com.google.android.music/.homewidgets.IFLWidgetProvider: pid=11845 uid=10210 gids={3003, 1015, 1028}
D/PowerManagerService(  584): releaseWakeLock(433cac30): PARTIAL_WAKE_LOCK , tag=UlrDispatchingService, flags=0x1
D/PowerManagerService(  584): releaseWakeLock(431a6180): PARTIAL_WAKE_LOCK , tag=SyncLoopWakeLock, flags=0x1
D/PowerManagerService(  584): releaseWakeLock(42cda4a0): PARTIAL_WAKE_LOCK , tag=GpsLocationProvider, flags=0x1
D/PowerManagerService(  584): acquireWakeLock(43134d10): PARTIAL_WAKE_LOCK , tag=GCoreFlp, flags=0x1, pid=1390, uid=10017, mUserState=0x0
D/PowerManagerService(  584): releaseWakeLock(43134d10): PARTIAL_WAKE_LOCK , tag=GCoreFlp, flags=0x1
D/PowerManagerService(  584): acquireWakeLock(428aa480): PARTIAL_WAKE_LOCK , tag=AlarmManager, flags=0x1, pid=584, uid=1000, mUserState=0x0
V/AlarmManager(  584): sending alarm PendingIntent{429db508: PendingIntentRecord{42d0af18 android broadcastIntent}}, intent=android.intent.action.TIME_TICK, type=RTC, count=1, when=1427234640000, repeateInterval=0
I/PackageManager(  584):  setEnabledSetting(), pkgName=com.google.android.music, clsName=com.android.music.MediaAppWidgetProvider, state=1, flag=1, pid=11845, uid=10210
I/ActivityManager(  584): Start proc com.htc.cs.dm for broadcast com.htc.cs.dm/.receiver.NetworkChangeReceiver: pid=11870 uid=10192 gids={3003, 1028}
D/PowerManagerService(  584): acquireWakeLock(42dff5a8): PARTIAL_WAKE_LOCK , tag=SyncLoopWakeLock, flags=0x1, pid=584, uid=1000, mUserState=0x0
I/PackageManager(  584):  setEnabledSetting(), pkgName=com.google.android.music, clsName=com.google.android.music.Settings.NetworkUsage, state=1, flag=1, pid=11845, uid=10210
D/PowerManagerService(  584): releaseWakeLock(42dff5a8): PARTIAL_WAKE_LOCK , tag=SyncLoopWakeLock, flags=0x1
D/Socket_Alarm(11870): registerHTCSocketMonitorCallBack
D/Socket_Alarm(11870): set mSocketMonitor
D/Socket_Alarm(11870): HTCSocketMonitorImpl::HTCSocketMonitorImpl
I/ActivityManager(  584): Recipient 9366
I/ActivityManager(  584): Process com.whatsapp (pid 9366) has died.
W/ActivityManager(  584): Scheduling restart of crashed service com.whatsapp/.messaging.MessageService in 5000ms
I/ActivityManager(  584): Start proc com.google.android.apps.uploader for broadcast com.google.android.apps.uploader/com.google.android.picasasync.ConnectivityReceiver: pid=11898 uid=10115 gids={3003, 1015, 1028}
V/LocationManagerService(  584): In requestLocationUpdates. provider passiveminTime: 5000single shot: false Receiver: Receiver{4333aef0 Intent PendingIntent{4301e9a0: PendingIntentRecord{42c76c50 com.htc.htclocationservice startService}}}mUpdateRecords: {passive=UpdateRecord{43041c88 mProvider: passive mUid: 10014}}
V/LocationManagerService(  584): In requestLocationUpdatesLocked. provider: passive requiredPermissions: android.permission.ACCESS_FINE_LOCATION
I/LocationManagerService(  584): request passive (pid 917) 5000 0
V/LocationManagerService(  584): [LGPS] _requestLocationUpdates: enableLocationTracking(true)
D/LocationManagerService(  584): _requestLocationUpdates: provider = passive listener = Receiver{4333aef0 Intent PendingIntent{4301e9a0: PendingIntentRecord{42c76c50 com.htc.htclocationservice startService}}}mUpdateRecords: {passive=UpdateRecord{42ce8928 mProvider: passive mUid: 10014}}
I/ActivityManager(  584): Start proc com.htc.reportagent for broadcast com.htc.reportagent/.receiver.NetworkChangeReceiver: pid=11913 uid=10124 gids={3003, 1007, 1028}
I/ActivityManager(  584): No longer want com.google.android.tts (pid 11296): hidden #16, adj=15
I/ActivityManager(  584): Recipient 11296
D/PowerManagerService(  584): acquireWakeLock(42e888a0): PARTIAL_WAKE_LOCK , tag=SystemUpdateService, flags=0x1, pid=1189, uid=10017, mUserState=0x0
D/PowerManagerService(  584): releaseWakeLock(42e888a0): PARTIAL_WAKE_LOCK , tag=SystemUpdateService, flags=0x1
I/PackageManager(  584):  setEnabledSetting(), pkgName=com.htc.reportagent, clsName=com.htc.reportagent.receiver.PowerConnectedReceiver, state=2, flag=1, pid=11913, uid=10124
D/ConnectivityService(  584): reportInetCondition for net 1, percentage: 100 by 1061/10017
